id,run_id,endpoint_id,request_name,endpoint_path,method,total_requests,ok_requests,ko_requests,ko_percentage,min_response_time,max_response_time,mean_response_time,p50_response_time,p75_response_time,p90_response_time,p95_response_time,p99_response_time,rps_achieved,created_at,endpoint_path
40,FINAL_VALIDATION_20250805_083925,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:39:25,/api/
41,FINAL_VALIDATION_20250805_083925,121,,,GET,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:39:25,/api/
42,FINAL_VALIDATION_20250805_083925,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:39:25,/api/
37,FINAL_VALIDATION_20250805_083859,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:38:59,/api/
38,FINAL_VALIDATION_20250805_083859,121,,,GET,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:38:59,/api/
39,FINAL_VALIDATION_20250805_083859,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:38:59,/api/
34,FINAL_VALIDATION_20250805_083819,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:38:19,/api/
35,FINAL_VALIDATION_20250805_083819,121,,,GET,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:38:19,/api/
36,FINAL_VALIDATION_20250805_083819,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:38:19,/api/
31,FINAL_VALIDATION_20250805_083745,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:37:45,/api/
32,FINAL_VALIDATION_20250805_083745,121,,,GET,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:37:45,/api/
33,FINAL_VALIDATION_20250805_083745,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:37:45,/api/
28,FINAL_VALIDATION_20250805_083728,121,,,POST,0,0,0,0.0,0,0,0,,,,0,,0.0,2025-08-05 06:37:28,/api/
